Timestamp,Gender,Education_Level,Age,Credible_News_Hour,Alien_Belief
3/15/2022 16:27:30,Female,Highschool Diploma,15,1,1
3/15/2022 16:28:26,Female,GED,20,8,7
3/16/2022 8:24:48,Female,Highschool Diploma,17,2,6
3/16/2022 8:25:02,Male,Highschool Diploma,18,0,1
3/16/2022 9:36:48,Female,Highschool Diploma,18,2,5
3/16/2022 11:11:38,Male,In Highschool,17,1,1
3/16/2022 11:14:44,Male,In Highschool,17,5,10
3/16/2022 11:22:44,Female,In Highschool,18,4,10
3/16/2022 11:24:51,Female,In Highschool,17,3,5
3/16/2022 11:30:15,Female,In Highschool,17,1,5
3/16/2022 11:36:05,Male,"Graduate (MA, Ph.D/Doctorate)",31,1,5
3/16/2022 12:41:25,Female,"Graduate (MA, Ph.D/Doctorate)",59,0,5
3/16/2022 13:09:47,Female,In Highschool,18,5,10
3/16/2022 13:56:45,Female,In Highschool,18,1,8
3/16/2022 13:58:09,Female,In Highschool,17,1,8
3/16/2022 13:59:27,Female,In Highschool,17,1,8
3/16/2022 14:03:06,Female,In Highschool,17,0,4
3/16/2022 14:32:24,Male,In Highschool,17,0,1
3/16/2022 14:38:56,Female,"Graduate (MA, Ph.D/Doctorate)",34,3,10
3/16/2022 14:39:57,Female,"Graduate (MA, Ph.D/Doctorate)",38,1,1
3/16/2022 14:56:05,Male,In Highschool,17,1,2
3/16/2022 15:00:34,Female,In Highschool,17,0,1
3/16/2022 17:01:10,Female,In Highschool,18,1,7
3/16/2022 17:11:58,Female,Highschool Diploma,19,2,10
3/16/2022 17:45:33,Female,Highschool Diploma,54,2,10
3/16/2022 17:57:51,Male,"Graduate (MA, Ph.D/Doctorate)",55,3,8
3/16/2022 18:06:48,Female,"Graduate (MA, Ph.D/Doctorate)",42,1,1
3/16/2022 18:23:02,Female,"Graduate (MA, Ph.D/Doctorate)",73,10,5
3/16/2022 18:40:50,Male,"Graduate (MA, Ph.D/Doctorate)",75,0,2
3/16/2022 19:26:05,Male,Highschool Diploma,45,3,1
3/16/2022 19:42:06,Female,"Graduate (MA, Ph.D/Doctorate)",55,0,2
3/16/2022 20:11:24,Female,"Graduate (MA, Ph.D/Doctorate)",48,12,10
3/16/2022 20:21:40,Female,Undergraduate (AA or BA),50,1,4
3/16/2022 20:24:40,Female,"Graduate (MA, Ph.D/Doctorate)",61,0,10
3/16/2022 20:25:00,Female,"Graduate (MA, Ph.D/Doctorate)",73,10,2
3/16/2022 20:45:21,Female,Undergraduate (AA or BA),50,12,5
3/16/2022 21:06:01,Female,Highschool Diploma,55,1,2
3/16/2022 21:08:15,Male,"Graduate (MA, Ph.D/Doctorate)",56,10,4
3/16/2022 21:09:11,Female,Highschool Diploma,72,14,10
3/16/2022 21:14:13,Male,"Graduate (MA, Ph.D/Doctorate)",54,7,7
3/16/2022 21:22:55,Female,"Graduate (MA, Ph.D/Doctorate)",52,1,3
3/16/2022 21:26:52,Female,"Graduate (MA, Ph.D/Doctorate)",50,10,8
3/16/2022 21:28:50,Female,In Highschool,17,1,5
3/16/2022 21:31:22,Female,GED,45,0,1
3/16/2022 21:40:09,Male,Undergraduate (AA or BA),73,3,10
3/16/2022 21:41:54,Female,In Highschool,17,1,9
3/16/2022 22:04:36,Female,Undergraduate (AA or BA),54,2,2
3/16/2022 22:23:07,Female,Graduate and above,48,2,8
3/16/2022 22:55:53,Female,"Graduate (MA, Ph.D/Doctorate)",43,2,1
3/16/2022 23:10:27,Female,"Graduate (MA, Ph.D/Doctorate)",54,2,2
3/16/2022 23:19:35,Male,Highschool Diploma,20,1,10
3/16/2022 23:31:20,Female,"Graduate (MA, Ph.D/Doctorate)",57,1,9
3/16/2022 23:41:34,Female,"Graduate (MA, Ph.D/Doctorate)",56,15,5
3/17/2022 1:06:10,Female,"Graduate (MA, Ph.D/Doctorate)",59,10,6
3/17/2022 1:10:37,Male,Highschool Diploma,65,21,10
3/17/2022 3:28:36,Female,"Graduate (MA, Ph.D/Doctorate)",59,3,3
3/17/2022 4:06:25,Female,Undergraduate (AA or BA),62,0,5
3/17/2022 4:22:32,Male,"Graduate (MA, Ph.D/Doctorate)",51,4,6
3/17/2022 5:30:58,Female,Highschool Diploma,42,1,3
3/17/2022 5:35:02,Male,"Graduate(MA, Ph.D/Doctorate)",65,6,3
3/17/2022 6:31:41,Female,Highschool Diploma,42,1,5
3/17/2022 7:12:42,Female,"Graduate (MA, Ph.D/Doctorate)",55,20,1
3/17/2022 8:58:04,Female,"Graduate (MA, Ph.D/Doctorate)",37,0,7
3/17/2022 8:58:49,Female,Undergraduate (AA or BA),74,2,6
3/17/2022 9:06:52,Female,Undergraduate (AA or BA),60,1,1
3/17/2022 9:47:32,Male,Undergraduate (AA or BA),20,2,6
3/17/2022 9:48:08,Female,In Highschool,14,0,10
3/17/2022 10:35:28,Female,Undergraduate (AA or BA),75,21,5
3/17/2022 12:23:22,Female,"Graduate (MA, Ph.D/Doctorate)",46,3,9
3/17/2022 12:23:43,Male,In Highschool,17,4,10
3/17/2022 12:24:02,Female,In Highschool,16,0,1
3/17/2022 12:24:02,Female,"Graduate (MA, Ph.D/Doctorate)",53,15,5
3/17/2022 12:24:13,Female,In Highschool,16,0,10
3/17/2022 12:25:47,Other,In Highschool,17,2,9
3/17/2022 12:26:24,Female,In Highschool,16,7,3
3/17/2022 12:29:15,Male,In Highschool,17,0,10
3/17/2022 12:31:31,Female,In Highschool,17,1,8
3/17/2022 12:41:59,Female,In Highschool,16,1,7
3/17/2022 12:42:49,Female,In Highschool,16,1,7
3/17/2022 12:44:51,Male,In Highschool,17,1,10
3/17/2022 14:22:58,Female,In Highschool,16,1,5
3/17/2022 15:47:27,Female,In Highschool,17,2,3
3/17/2022 16:42:46,Female,Highschool Diploma,67,2,4
3/17/2022 17:41:02,Female,GED,41,1,7
3/17/2022 18:26:06,Female,Undergraduate (AA or BA),77,2,2
3/17/2022 19:22:20,Female,In Highschool,16,0,4
3/18/2022 8:52:57,Female,In Highschool,17,1,1
3/18/2022 8:53:13,Female,In Highschool,16,2,7
3/18/2022 9:49:33,Female,In Highschool,16,1,10
3/18/2022 9:59:29,Female,"Graduate (MA, Ph.D/Doctorate)",55,5,7
3/18/2022 11:02:05,Male,In Highschool,18,4,3
3/18/2022 11:03:26,Female,Highschool Diploma,19,1,5
3/18/2022 11:04:38,Male,Undergraduate (AA or BA),19,0,10
3/18/2022 11:06:29,Female,Undergraduate (AA or BA),19,0,8
3/18/2022 11:07:36,Male,Undergraduate (AA or BA),17,12,10
3/18/2022 11:08:37,Male,Undergraduate (AA or BA),19,2,10
3/18/2022 11:09:41,Male,Undergraduate (AA or BA),19,1,5
3/18/2022 12:35:03,Female,In Highschool,17,0,4
3/19/2022 8:23:13,Male,"Graduate (MA, Ph.D/Doctorate)",27,8,1
3/19/2022 8:23:28,Female,GED,19,1,8
3/19/2022 9:03:54,Male,Undergraduate (AA or BA),50,5,6