,,,,,,,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022
College Name,District Name,Education Status,Education Status Sub Category,Gender,Age Group,Ethnicity,Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%)
Canada,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Female,,,497,1,73.96 %,50.00 %,231,6,73.33 %,85.71 %,530,1,77.60 %,50.00 %,571,1,78.43 %,50.00 %,205,0,74.28 %,0.00 %,469,0,75.52 %,0.00 %,559,0,77.75 %,0.00 %,238,0,75.56 %,0.00 %,504,0,71.79 %,0.00 %
Canada,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Male,,,146,1,21.73 %,50.00 %,73,1,23.17 %,14.29 %,119,1,17.42 %,50.00 %,126,1,17.31 %,50.00 %,58,0,21.01 %,0.00 %,115,1,18.52 %,100.00 %,124,0,17.25 %,0.00 %,62,0,19.68 %,0.00 %,162,0,23.08 %,0.00 %
Canada,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Unknown,,,29,0,4.32 %,0.00 %,11,0,3.49 %,0.00 %,34,0,4.98 %,0.00 %,31,0,4.26 %,0.00 %,13,0,4.71 %,0.00 %,37,0,5.96 %,0.00 %,36,0,5.01 %,0.00 %,15,0,4.76 %,0.00 %,36,0,5.13 %,0.00 %
Canada,San Mateo CCD,College Degree,Received an Associate Degree,Female,,,118,0,72.84 %,0.00 %,78,0,73.58 %,0.00 %,109,1,73.65 %,100.00 %,129,0,70.11 %,0.00 %,62,0,65.26 %,0.00 %,102,0,73.91 %,0.00 %,128,0,74.42 %,0.00 %,60,0,74.07 %,0.00 %,128,0,74.42 %,0.00 %
Canada,San Mateo CCD,College Degree,Received an Associate Degree,Male,,,37,0,22.84 %,0.00 %,24,1,22.64 %,100.00 %,32,0,21.62 %,0.00 %,47,1,25.54 %,100.00 %,29,0,30.53 %,0.00 %,31,0,22.46 %,0.00 %,40,0,23.26 %,0.00 %,16,0,19.75 %,0.00 %,40,0,23.26 %,0.00 %
Canada,San Mateo CCD,College Degree,Received an Associate Degree,Unknown,,,7,0,4.32 %,0.00 %,4,0,3.77 %,0.00 %,7,0,4.73 %,0.00 %,8,0,4.35 %,0.00 %,4,0,4.21 %,0.00 %,5,0,3.62 %,0.00 %,4,0,2.33 %,0.00 %,5,0,6.17 %,0.00 %,4,0,2.33 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Female,,,189,0,64.51 %,0.00 %,77,3,63.11 %,100.00 %,161,2,67.36 %,66.67 %,165,1,69.33 %,100.00 %,55,0,76.39 %,0.00 %,145,0,72.50 %,0.00 %,150,0,67.87 %,0.00 %,62,0,69.66 %,0.00 %,134,0,68.37 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Male,,,102,0,34.81 %,0.00 %,45,0,36.89 %,0.00 %,74,1,30.96 %,33.33 %,69,0,28.99 %,0.00 %,17,0,23.61 %,0.00 %,50,0,25.00 %,0.00 %,66,0,29.86 %,0.00 %,24,0,26.97 %,0.00 %,54,0,27.55 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Unknown,,,2,0,0.68 %,0.00 %,,,0.00 %,0.00 %,4,0,1.67 %,0.00 %,4,0,1.68 %,0.00 %,,,0.00 %,0.00 %,5,0,2.50 %,0.00 %,5,0,2.26 %,0.00 %,3,0,3.37 %,0.00 %,8,0,4.08 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Female,,,108,0,61.71 %,0.00 %,58,3,65.91 %,100.00 %,101,0,67.33 %,0.00 %,93,0,63.27 %,0.00 %,53,0,53.00 %,0.00 %,90,0,66.67 %,0.00 %,106,0,66.25 %,0.00 %,49,0,68.06 %,0.00 %,97,0,65.99 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Male,,,63,0,36.00 %,0.00 %,29,0,32.95 %,0.00 %,44,0,29.33 %,0.00 %,50,0,34.01 %,0.00 %,46,0,46.00 %,0.00 %,43,0,31.85 %,0.00 %,46,0,28.75 %,0.00 %,22,1,30.56 %,100.00 %,46,0,31.29 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Unknown,,,4,0,2.29 %,0.00 %,1,0,1.14 %,0.00 %,5,0,3.33 %,0.00 %,4,0,2.72 %,0.00 %,1,0,1.00 %,0.00 %,2,0,1.48 %,0.00 %,8,0,5.00 %,0.00 %,1,0,1.39 %,0.00 %,4,0,2.72 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Received a California High School Proficiency Certificate,Female,,,31,0,49.21 %,0.00 %,9,2,36.00 %,100.00 %,25,0,44.64 %,0.00 %,36,0,56.25 %,0.00 %,9,0,45.00 %,0.00 %,26,0,56.52 %,0.00 %,33,0,53.23 %,0.00 %,12,0,57.14 %,0.00 %,31,0,52.54 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Received a California High School Proficiency Certificate,Male,,,28,0,44.44 %,0.00 %,15,0,60.00 %,0.00 %,29,0,51.79 %,0.00 %,25,0,39.06 %,0.00 %,9,0,45.00 %,0.00 %,18,0,39.13 %,0.00 %,26,0,41.94 %,0.00 %,9,0,42.86 %,0.00 %,25,0,42.37 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Received a California High School Proficiency Certificate,Unknown,,,4,0,6.35 %,0.00 %,1,0,4.00 %,0.00 %,2,0,3.57 %,0.00 %,3,0,4.69 %,0.00 %,2,0,10.00 %,0.00 %,2,0,4.35 %,0.00 %,3,0,4.84 %,0.00 %,,,0.00 %,0.00 %,3,0,5.08 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Received High School Diploma,Female,,,"1,755",3,57.79 %,50.00 %,"1,161",10,59.72 %,55.56 %,"1,779",8,55.79 %,66.67 %,"1,684",2,55.20 %,66.67 %,887,0,59.37 %,0.00 %,"1,583",0,54.51 %,0.00 %,"1,604",0,53.84 %,0.00 %,878,0,57.16 %,0.00 %,"1,644",0,52.37 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Received High School Diploma,Male,,,"1,223",2,40.27 %,33.33 %,743,8,38.22 %,44.44 %,"1,344",3,42.14 %,25.00 %,"1,317",1,43.17 %,33.33 %,584,0,39.09 %,0.00 %,"1,272",1,43.80 %,100.00 %,"1,321",0,44.34 %,0.00 %,631,1,41.08 %,100.00 %,"1,429",1,45.52 %,100.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Received High School Diploma,Unknown,,,59,1,1.94 %,16.67 %,40,0,2.06 %,0.00 %,66,1,2.07 %,8.33 %,50,0,1.64 %,0.00 %,23,0,1.54 %,0.00 %,49,0,1.69 %,0.00 %,54,0,1.81 %,0.00 %,27,0,1.76 %,0.00 %,66,0,2.10 %,0.00 %
Canada,San Mateo CCD,Not A High School Graduate,Currently enrolled in adult school,Female,,,18,0,62.07 %,0.00 %,13,0,68.42 %,0.00 %,22,0,81.48 %,0.00 %,22,0,84.62 %,0.00 %,7,0,63.64 %,0.00 %,15,0,71.43 %,0.00 %,14,0,66.67 %,0.00 %,10,0,90.91 %,0.00 %,14,0,77.78 %,0.00 %
Canada,San Mateo CCD,Not A High School Graduate,Currently enrolled in adult school,Male,,,10,0,34.48 %,0.00 %,6,0,31.58 %,0.00 %,5,1,18.52 %,100.00 %,4,0,15.38 %,0.00 %,4,0,36.36 %,0.00 %,6,1,28.57 %,100.00 %,7,0,33.33 %,0.00 %,1,0,9.09 %,0.00 %,4,0,22.22 %,0.00 %
Canada,San Mateo CCD,Not A High School Graduate,Currently enrolled in adult school,Unknown,,,1,0,3.45 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %
Canada,San Mateo CCD,Not A High School Graduate,"Not a graduate of, and no longer enrolled in high school",Female,,,289,1,63.38 %,50.00 %,94,0,71.76 %,0.00 %,197,0,66.78 %,0.00 %,195,0,70.65 %,0.00 %,54,0,69.23 %,0.00 %,190,1,73.64 %,100.00 %,177,0,66.29 %,0.00 %,59,0,71.95 %,0.00 %,201,0,66.78 %,0.00 %
Canada,San Mateo CCD,Not A High School Graduate,"Not a graduate of, and no longer enrolled in high school",Male,,,150,1,32.89 %,50.00 %,29,0,22.14 %,0.00 %,87,0,29.49 %,0.00 %,72,0,26.09 %,0.00 %,20,0,25.64 %,0.00 %,60,0,23.26 %,0.00 %,81,0,30.34 %,0.00 %,20,0,24.39 %,0.00 %,90,0,29.90 %,0.00 %
Canada,San Mateo CCD,Not A High School Graduate,"Not a graduate of, and no longer enrolled in high school",Unknown,,,17,0,3.73 %,0.00 %,8,0,6.11 %,0.00 %,11,0,3.73 %,0.00 %,9,0,3.26 %,0.00 %,4,0,5.13 %,0.00 %,8,0,3.10 %,0.00 %,9,0,3.37 %,0.00 %,3,0,3.66 %,0.00 %,10,0,3.32 %,0.00 %
Canada,San Mateo CCD,Special Admit student,Special Admit student currently enrolled in K-12,Female,,,156,1,60.94 %,100.00 %,271,2,55.88 %,50.00 %,192,2,54.70 %,66.67 %,221,0,57.70 %,0.00 %,208,0,52.39 %,0.00 %,272,1,60.04 %,100.00 %,293,0,55.49 %,0.00 %,265,1,53.75 %,100.00 %,248,0,51.03 %,0.00 %
Canada,San Mateo CCD,Special Admit student,Special Admit student currently enrolled in K-12,Male,,,91,0,35.55 %,0.00 %,204,2,42.06 %,50.00 %,147,1,41.88 %,33.33 %,145,0,37.86 %,0.00 %,172,0,43.32 %,0.00 %,163,0,35.98 %,0.00 %,214,0,40.53 %,0.00 %,211,0,42.80 %,0.00 %,217,0,44.65 %,0.00 %
Canada,San Mateo CCD,Special Admit student,Special Admit student currently enrolled in K-12,Unknown,,,9,0,3.52 %,0.00 %,10,0,2.06 %,0.00 %,12,0,3.42 %,0.00 %,17,0,4.44 %,0.00 %,17,0,4.28 %,0.00 %,18,0,3.97 %,0.00 %,21,0,3.98 %,0.00 %,17,0,3.45 %,0.00 %,21,0,4.32 %,0.00 %
Canada,San Mateo CCD,Unknown,Unknown / unreported,Female,,,87,0,39.19 %,0.00 %,43,1,42.57 %,50.00 %,93,0,39.74 %,0.00 %,100,0,43.29 %,0.00 %,27,0,42.86 %,0.00 %,92,0,47.18 %,0.00 %,103,0,48.82 %,0.00 %,19,0,42.22 %,0.00 %,83,0,50.00 %,0.00 %
Canada,San Mateo CCD,Unknown,Unknown / unreported,Male,,,134,0,60.36 %,0.00 %,58,1,57.43 %,50.00 %,141,0,60.26 %,0.00 %,131,0,56.71 %,0.00 %,36,0,57.14 %,0.00 %,103,0,52.82 %,0.00 %,108,0,51.18 %,0.00 %,26,0,57.78 %,0.00 %,83,0,50.00 %,0.00 %
Canada,San Mateo CCD,Unknown,Unknown / unreported,Unknown,,,1,0,0.45 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %,,,0.00 %,0.00 %
San Mateo,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Female,,,600,0,58.42 %,0.00 %,380,0,66.32 %,0.00 %,557,0,60.61 %,0.00 %,598,0,63.89 %,0.00 %,260,0,64.52 %,0.00 %,495,0,59.78 %,0.00 %,488,0,58.10 %,0.00 %,212,0,58.56 %,0.00 %,482,0,61.01 %,0.00 %
San Mateo,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Male,,,384,0,37.39 %,0.00 %,165,0,28.80 %,0.00 %,317,1,34.49 %,100.00 %,296,0,31.62 %,0.00 %,125,0,31.02 %,0.00 %,306,0,36.96 %,0.00 %,316,0,37.62 %,0.00 %,136,0,37.57 %,0.00 %,268,0,33.92 %,0.00 %
San Mateo,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Unknown,,,43,0,4.19 %,0.00 %,28,0,4.89 %,0.00 %,45,0,4.90 %,0.00 %,42,0,4.49 %,0.00 %,18,0,4.47 %,0.00 %,27,0,3.26 %,0.00 %,36,0,4.29 %,0.00 %,14,0,3.87 %,0.00 %,40,0,5.06 %,0.00 %
San Mateo,San Mateo CCD,College Degree,Received an Associate Degree,Female,,,138,0,61.61 %,0.00 %,79,0,55.24 %,0.00 %,120,0,60.91 %,0.00 %,121,1,59.61 %,100.00 %,74,0,67.27 %,0.00 %,120,0,60.61 %,0.00 %,126,0,57.01 %,0.00 %,67,0,62.04 %,0.00 %,137,0,64.62 %,0.00 %
San Mateo,San Mateo CCD,College Degree,Received an Associate Degree,Male,,,81,0,36.16 %,0.00 %,61,0,42.66 %,0.00 %,71,0,36.04 %,0.00 %,76,0,37.44 %,0.00 %,36,0,32.73 %,0.00 %,67,1,33.84 %,100.00 %,88,0,39.82 %,0.00 %,38,0,35.19 %,0.00 %,72,0,33.96 %,0.00 %
San Mateo,San Mateo CCD,College Degree,Received an Associate Degree,Unknown,,,5,0,2.23 %,0.00 %,3,0,2.10 %,0.00 %,6,0,3.05 %,0.00 %,6,0,2.96 %,0.00 %,,,0.00 %,0.00 %,11,0,5.56 %,0.00 %,7,0,3.17 %,0.00 %,3,0,2.78 %,0.00 %,3,0,1.42 %,0.00 %
San Mateo,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Female,,,219,0,52.02 %,0.00 %,111,0,62.71 %,0.00 %,181,0,59.34 %,0.00 %,148,1,54.01 %,100.00 %,59,0,57.28 %,0.00 %,137,0,64.02 %,0.00 %,154,0,63.64 %,0.00 %,47,0,57.32 %,0.00 %,134,0,60.36 %,0.00 %
San Mateo,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Male,,,196,0,46.56 %,0.00 %,62,0,35.03 %,0.00 %,119,0,39.02 %,0.00 %,119,0,43.43 %,0.00 %,42,0,40.78 %,0.00 %,74,0,34.58 %,0.00 %,78,0,32.23 %,0.00 %,34,0,41.46 %,0.00 %,79,0,35.59 %,0.00 %
San Mateo,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Unknown,,,6,0,1.43 %,0.00 %,4,0,2.26 %,0.00 %,5,0,1.64 %,0.00 %,7,0,2.55 %,0.00 %,2,0,1.94 %,0.00 %,3,0,1.40 %,0.00 %,10,0,4.13 %,0.00 %,1,0,1.22 %,0.00 %,9,0,4.05 %,0.00 %
San Mateo,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Female,,,89,0,41.01 %,0.00 %,52,0,45.61 %,0.00 %,92,0,46.23 %,0.00 %,81,1,44.75 %,100.00 %,44,0,46.32 %,0.00 %,79,0,45.93 %,0.00 %,91,0,48.92 %,0.00 %,40,0,54.05 %,0.00 %,77,0,50.66 %,0.00 %
San Mateo,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Male,,,124,0,57.14 %,0.00 %,59,0,51.75 %,0.00 %,102,0,51.26 %,0.00 %,95,0,52.49 %,0.00 %,51,0,53.68 %,0.00 %,85,0,49.42 %,0.00 %,89,0,47.85 %,0.00 %,31,0,41.89 %,0.00 %,64,1,42.11 %,100.00 %
San Mateo,San Mateo CCD,High School Graduate Without A College Degree,"Passed the GED, or received a High School Certificate of Equivalency",Unknown,,,4,0,1.84 %,0.00 %,3,0,2.63 %,0.00 %,5,0,2.51 %,0.00 %,5,0,2.76 %,0.00 %,,,0.00 %,0.00 %,8,0,4.65 %,0.00 %,6,0,3.23 %,0.00 %,3,0,4.05 %,0.00 %,11,0,7.24 %,0.00 %
